0,1,2,3,4,5,6,7,8,9,10,11,12,Gender
-418.79785,141.42438,15.223656,13.510433,-8.45974,-11.438642,-23.95984,3.419229,-23.211613,-5.509173,-10.719726,-10.9536085,-6.196603,F
-240.59183,119.08184,-17.059921,17.280499,23.883955,-20.73143,6.09329,-18.645391,0.024260342,-14.77934,3.9238615,-0.21002898,-0.1611966,F
-248.41734,141.91542,8.428861,27.329128,7.7792196,-3.7558227,-10.183941,-2.1634696,-15.9128275,-12.48699,-7.3481817,-3.8993688,-2.507392,M
-255.93245,66.725395,8.87344,14.510513,20.79094,3.6752489,-8.863408,-3.0622718,-6.954409,-12.066286,-11.470064,-5.7979293,-6.4415684,M
-202.58334,114.5812,7.372417,27.085367,-18.267328,2.5355115,-34.116817,-19.135557,-12.168691,-17.745049,-17.717377,-5.373448,-9.210152,M
-334.02798,111.77545,-36.961533,33.62372,12.980204,-5.284896,-13.534277,-27.928944,-15.474376,-10.113673,-15.8736,-5.119166,-1.8104911,M
-265.35645,91.48477,2.8011668,32.644367,5.77976,8.790248,-6.1587195,0.64260787,-8.317285,0.68594724,2.8527083,-5.146957,3.5260231,M
-250.11151,75.73149,0.69132286,-12.006772,15.089582,-1.455402,-8.556082,0.85452956,-1.7638894,4.240032,-11.805479,-5.6211905,-2.826048,M
-342.53604,99.90811,1.0694261,36.261406,-5.719054,8.831442,-25.689575,-13.07735,-11.224736,-10.850952,-10.546796,-3.8169613,-6.5014386,F
-282.8256,47.562256,20.90516,30.500082,-16.24413,-4.636854,-6.932105,-20.37329,-15.410581,-14.494854,-15.732933,-7.6172905,-2.288137,F
-308.24814,116.49816,-10.766625,19.47251,-43.29116,-43.40042,-12.709977,-15.873217,-19.849058,-25.89161,-17.214727,-6.0631824,-10.450818,F
-338.21777,101.7608,9.541601,12.580454,21.737406,6.020761,-2.9723363,-10.0301895,-2.0828722,-1.3517672,-6.0739956,3.3227465,1.3366791,F
