Chroma_CENS_0,Chroma_CENS_1,Chroma_CENS_2,Chroma_CENS_3,Chroma_CENS_4,Chroma_CENS_5,Chroma_CENS_6,Chroma_CENS_7,Chroma_CENS_8,Chroma_CENS_9,Chroma_CENS_10,Chroma_CENS_11,Gender
0.14317624,0.16734822,0.31601256,0.45871335,0.4555322,0.356025,0.22846507,0.159102,0.12643267,0.16154994,0.16257758,0.16107072,M
0.35604215,0.35069433,0.2848977,0.26337305,0.25227317,0.23109664,0.23733075,0.24677186,0.30103558,0.24788211,0.2598797,0.28228125,M
0.21380156,0.22150154,0.28274474,0.34375772,0.4235575,0.36961755,0.30153564,0.22232212,0.18105757,0.13594688,0.14272286,0.235484,M
0.30256826,0.26715255,0.21956396,0.22321491,0.19985673,0.14790335,0.15720211,0.24091816,0.27530682,0.3297541,0.3273849,0.34533083,F
0.21384597,0.16839126,0.13195544,0.106650524,0.09389738,0.14717844,0.23565646,0.31705943,0.37930745,0.41911277,0.38229114,0.27789804,F
0.22545567,0.24335864,0.23173925,0.27750397,0.25218895,0.24225685,0.2578786,0.27395454,0.32064906,0.3134685,0.3017732,0.26872465,F
0.26231578,0.32046658,0.35889685,0.28673053,0.27435493,0.29371113,0.30760536,0.28960353,0.19921482,0.18284675,0.20782575,0.20897907,F
0.41090664,0.41162658,0.36288092,0.27223307,0.15494084,0.0902699,0.10335142,0.094395965,0.08527084,0.13447988,0.20135856,0.34423622,F
0.15330523,0.13831018,0.33053163,0.5926646,0.4783859,0.2418174,0.17460471,0.119799234,0.0687443,0.10304322,0.14370035,0.10493113,F
0.3216951,0.26958835,0.19042367,0.089408055,0.11299909,0.07972862,0.10934439,0.1844083,0.28005785,0.39360636,0.41416588,0.3627445,F
0.2617205,0.34548378,0.25117272,0.2174515,0.18285212,0.23039913,0.29417774,0.39060065,0.37024665,0.18587378,0.14192522,0.16744357,F
0.29336852,0.21689393,0.1831442,0.30866602,0.26273596,0.17893107,0.15802944,0.256567,0.25169054,0.29766577,0.43427566,0.35506785,F
0.24554735,0.20290203,0.18306705,0.21549332,0.2743525,0.33762667,0.35236275,0.2740772,0.25720137,0.27321017,0.2955258,0.27012524,F
0.33729774,0.258068,0.22406173,0.2220398,0.19665782,0.16675091,0.17083238,0.18184707,0.20751755,0.3029749,0.36644572,0.3665072,F
0.21167438,0.113180526,0.11819482,0.1009917,0.08336672,0.07833311,0.20090422,0.3335862,0.44133386,0.44491705,0.37397113,0.31484285,F
